year,rank,country,happiness,GDP,social_support,healthy,freedom,generosity,corruption,rank,happiness,GDP,social_support2019,healthy,freedom2019,generosity,corruption,rank2020,happiness,GDP,social_support,healthy,freedom,generosity,corruption,dystopia2020,rank2021,happiness,GDP,social_support,healthy,freedom,generosity,corruption,dystopia2021,rank2022,happiness,GDP,social_support,healthy,freedom,generosity,corruption,dystopia2022
2018,116.0,Sri Lanka,4.471,0.918,1.314,0.672,0.585,0.307,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,117.0,Iraq,4.456,1.01,0.971,0.536,0.304,0.148,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,118.0,Mali,4.447,0.37,1.233,0.152,0.367,0.139,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,119.0,Namibia,4.441,0.874,1.281,0.365,0.519,0.051,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,120.0,Cambodia,4.433,0.549,1.088,0.457,0.696,0.256,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,121.0,Burkina Faso,4.424,0.314,1.097,0.254,0.312,0.175,0.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,122.0,Egypt,4.419,0.885,1.025,0.553,0.312,0.092,0.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,123.0,Mozambique,4.417,0.198,0.902,0.173,0.531,0.206,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,124.0,Kenya,4.41,0.493,1.048,0.454,0.504,0.352,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,125.0,Zambia,4.377,0.562,1.047,0.295,0.503,0.221,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,126.0,Mauritania,4.356,0.557,1.245,0.292,0.129,0.134,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,127.0,Ethiopia,4.35,0.308,0.95,0.391,0.452,0.22,0.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,128.0,Georgia,4.34,0.853,0.592,0.643,0.375,0.038,0.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,129.0,Armenia,4.321,0.816,0.99,0.666,0.26,0.077,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,130.0,Myanmar,4.308,0.682,1.174,0.429,0.58,0.598,0.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,131.0,Chad,4.301,0.358,0.907,0.053,0.189,0.181,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,132.0,Congo (Kinshasa),4.245,0.069,1.136,0.204,0.312,0.197,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,133.0,India,4.19,0.721,0.747,0.485,0.539,0.172,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,134.0,Niger,4.166,0.131,0.867,0.221,0.39,0.175,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,135.0,Uganda,4.161,0.322,1.09,0.237,0.45,0.259,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,136.0,Benin,4.141,0.378,0.372,0.24,0.44,0.163,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,137.0,Sudan,4.139,0.605,1.24,0.312,0.016,0.134,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,138.0,Ukraine,4.103,0.793,1.413,0.609,0.163,0.187,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,139.0,Togo,3.999,0.259,0.474,0.253,0.434,0.158,0.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,140.0,Guinea,3.964,0.344,0.792,0.211,0.394,0.185,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,141.0,Lesotho,3.808,0.472,1.215,0.079,0.423,0.116,0.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,142.0,Angola,3.795,0.73,1.125,0.269,0.0,0.079,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,143.0,Madagascar,3.774,0.262,0.908,0.402,0.221,0.155,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,144.0,Zimbabwe,3.692,0.357,1.094,0.248,0.406,0.132,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,145.0,Afghanistan,3.632,0.332,0.537,0.255,0.085,0.191,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,146.0,Botswana,3.59,1.017,1.174,0.417,0.557,0.042,0.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,147.0,Malawi,3.587,0.186,0.541,0.306,0.531,0.21,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,148.0,Haiti,3.582,0.315,0.714,0.289,0.025,0.392,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,149.0,Liberia,3.495,0.076,0.858,0.267,0.419,0.206,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,150.0,Syria,3.462,0.689,0.382,0.539,0.088,0.376,0.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,151.0,Rwanda,3.408,0.332,0.896,0.4,0.636,0.2,0.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,152.0,Yemen,3.355,0.442,1.073,0.343,0.244,0.083,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,153.0,Tanzania,3.303,0.455,0.991,0.381,0.481,0.27,0.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,154.0,South Sudan,3.254,0.337,0.608,0.177,0.112,0.224,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,155.0,Central African Republic,3.083,0.024,0.0,0.01,0.305,0.218,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,156.0,Burundi,2.905,0.091,0.627,0.145,0.065,0.149,0.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,Finland,,,,,,,,1.0,7.769,1.34,1.587,0.986,0.596,0.153,0.393,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,Denmark,,,,,,,,2.0,7.6,1.383,1.573,0.996,0.592,0.252,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,Norway,,,,,,,,3.0,7.554,1.488,1.582,1.028,0.603,0.271,0.341,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,Iceland,,,,,,,,4.0,7.494,1.38,1.624,1.026,0.591,0.354,0.118,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,Netherlands,,,,,,,,5.0,7.488,1.396,1.522,0.999,0.557,0.322,0.298,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,Switzerland,,,,,,,,6.0,7.48,1.452,1.526,1.052,0.572,0.263,0.343,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,Sweden,,,,,,,,7.0,7.343,1.387,1.487,1.009,0.574,0.267,0.373,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,New Zealand,,,,,,,,8.0,7.307,1.303,1.557,1.026,0.585,0.33,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,Canada,,,,,,,,9.0,7.278,1.365,1.505,1.039,0.584,0.285,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,Austria,,,,,,,,10.0,7.246,1.376,1.475,1.016,0.532,0.244,0.226,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,Australia,,,,,,,,11.0,7.228,1.372,1.548,1.036,0.557,0.332,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,Costa Rica,,,,,,,,12.0,7.167,1.034,1.441,0.963,0.558,0.144,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,Israel,,,,,,,,13.0,7.139,1.276,1.455,1.029,0.371,0.261,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,Luxembourg,,,,,,,,14.0,7.09,1.609,1.479,1.012,0.526,0.194,0.316,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,United Kingdom,,,,,,,,15.0,7.054,1.333,1.538,0.996,0.45,0.348,0.278,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,Ireland,,,,,,,,16.0,7.021,1.499,1.553,0.999,0.516,0.298,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,Germany,,,,,,,,17.0,6.985,1.373,1.454,0.987,0.495,0.261,0.265,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,Belgium,,,,,,,,18.0,6.923,1.356,1.504,0.986,0.473,0.16,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,United States,,,,,,,,19.0,6.892,1.433,1.457,0.874,0.454,0.28,0.128,,,,,,,,,,,,,,,,,,,,,,,,,,,
